"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNFRSF4",41.0564525965125,0.969301073288032,0.642273096407428,1.5091727782307,0.131254634826625,0.732009687498465
"SDF4",2271.7844975258,0.384150117792724,0.203810639730176,1.88483838871856,0.0594516603356596,0.582394178996104
"B3GALT6",321.59926592503,0.184613103916642,0.201831355682222,0.914689906791838,0.360354444530919,0.889556018396832
"C1QTNF12",14.1664817661392,0.183491033617941,0.892119552020093,0.205679870150193,0.837040983660708,0.985795792647883
"UBE2J2",784.480055322485,0.238012739229956,0.206867683838869,1.15055544110672,0.24991517339703,0.831860380048241
"LINC01786",96.6607356401252,-0.785744424431106,0.414924298328551,-1.89370549663237,0.0582641113364529,0.579536024224165
"SCNN1D",201.574177724302,-0.702882514373827,0.362209299824737,-1.940542428684,0.0523138030157165,0.569378044836882
"ACAP3",1668.1110042985,-0.454640182044751,0.241722504546106,-1.88083514564956,0.0599943476359122,0.583705710216234
"MIR6726",1.51968600931398,-0.16014459461639,1.54153646862021,-0.103886348377947,0.917259540900155,NA
"SNORD167",9.97739670862434,-0.184589978095346,0.678360595264429,-0.272111881769004,0.78553599381528,0.97984936117454
"PUSL1",109.824740898812,0.019633450165469,0.332900670108028,0.0589769019061989,0.952970505689518,0.994637665845805
"INTS11",1524.3878235346,-0.188587293789537,0.198248134553522,-0.951268944922271,0.341467867371117,0.884222396923061
"MIR6727",4.20446997493253,-0.159790180624606,0.91012864060587,-0.175568786098451,0.860632726475677,NA
"CPTP",301.191545243778,0.476905379681418,0.331695962098232,1.43777867136104,0.150496862895876,0.758698866727372
"TAS1R3",11.0791427254159,-0.452164423468175,0.640663786619023,-0.705774905515393,0.480328130160745,0.918210873855295
"DVL1",1282.65961488112,0.0271865026514462,0.194322714332265,0.139903884859085,0.888735931806485,0.991159681750608
"MIR6808",1.42031020928954,-1.56418082696272,1.87990710180142,-0.832052193144991,0.405379484722814,NA
"MXRA8",2912.64267601589,0.236035792522947,0.244981213807519,0.963485276501241,0.335304049480171,0.880678597982941
"AURKAIP1",945.396297753456,0.350178646682512,0.382182502866759,0.916260278939548,0.359530396173067,0.889556018396832
"CCNL2",4634.72011598774,-0.29891260081953,0.205699262485784,-1.45315348828821,0.146181142814486,0.75449444210146
"MRPL20-AS1",328.421379991913,0.219322381911738,0.260721688202273,0.841212648721358,0.400228815732616,0.90007839681277
"MRPL20",1322.69714386109,-0.117190987635407,0.262462449497897,-0.446505730094338,0.655231974414201,0.960284931587132
"LOC107984868",16.6715567983341,-0.156459264316331,0.502223143947797,-0.311533361617827,0.755395184907994,0.975357629262356
"ANKRD65",218.134137919675,-0.063663898015137,0.446439236960294,-0.142603724638117,0.88660315571348,0.991159681750608
